movie_id,title,overview,release_date,popularity,genres,text,genres_list,release_year,genre__Action,genre__Adventure,genre__Animation,genre__Comedy,genre__Crime,genre__Documentary,genre__Drama,genre__Family,genre__Fantasy,genre__History,genre__Horror,genre__Music,genre__Mystery,genre__Romance,genre__Science Fiction,genre__TV Movie,genre__Thriller,genre__Unknown,genre__War,genre__Western
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-22,569.732,"Science Fiction, Adventure","The Fantastic 4: First Steps. Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","['Science Fiction', 'Adventure']",2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1267319,Mantis,"Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization.",2025-09-26,445.4668,"Action, Crime, Thriller","Mantis. Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization.","['Action', 'Crime', 'Thriller']",2025,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,422.5458,"Animation, Action, Fantasy, Thriller","Demon Slayer: Kimetsu no Yaiba Infinity Castle. The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","['Animation', 'Action', 'Fantasy', 'Thriller']",2025,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1328803,Prisoner of War,British RAF Wing Commander James Wright is captured by the Japanese during WWII and forced to fight in brutal hand-to-hand combat. The Japanese soldiers get more than they bargained for when Wright’s years of martial arts training in Hong Kong prove him to be a formidable opponent.,2025-09-19,387.7022,"Action, War, Thriller, History",Prisoner of War. British RAF Wing Commander James Wright is captured by the Japanese during WWII and forced to fight in brutal hand-to-hand combat. The Japanese soldiers get more than they bargained for when Wright’s years of martial arts training in Hong Kong prove him to be a formidable opponent.,"['Action', 'War', 'Thriller', 'History']",2025,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,351.3123,"Science Fiction, Thriller","War of the Worlds. Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","['Science Fiction', 'Thriller']",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1009640,Valiant One,"With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",2025-01-30,259.3684,"Action, War","Valiant One. With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.","['Action', 'War']",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1038392,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,2025-09-03,235.7667,Horror,The Conjuring: Last Rites. Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,['Horror'],2025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",2025-09-23,200.2457,"Action, Thriller, Crime","One Battle After Another. Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","['Action', 'Thriller', 'Crime']",2025,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1257009,Primitive War,"During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs.",2025-08-21,315.5567,"Action, Horror, War","Primitive War. During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs.","['Action', 'Horror', 'War']",2025,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1450529,Gunman,"A former hitman accepts a minor job for his former boss. However, in a corrupt neighborhood, nothing is what it seems, and he quickly gets caught in a web of unexpected events. A race against time and his own destiny.",2025-06-12,144.414,"Thriller, Action","Gunman. A former hitman accepts a minor job for his former boss. However, in a corrupt neighborhood, nothing is what it seems, and he quickly gets caught in a web of unexpected events. A race against time and his own destiny.","['Thriller', 'Action']",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1078605,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",2025-08-04,170.3064,"Horror, Mystery","Weapons. When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.","['Horror', 'Mystery']",2025,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025-07-09,166.8212,"Science Fiction, Adventure, Action","Superman. Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","['Science Fiction', 'Adventure', 'Action']",2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
